symbol,group,bars,first,last,delisted,start_year
AAPL,survivor,11496,1980-12-12,2026-07-27,no,1980
ABBV,survivor,3411,2013-01-02,2026-07-27,no,2013
ABT,survivor,11684,1980-03-17,2026-07-27,no,1980
ADBE,survivor,10064,1986-08-13,2026-07-27,no,1986
ADI,old_guard,11684,1980-03-17,2026-07-27,no,1980
ADM,old_guard,11684,1980-03-17,2026-07-27,no,1980
ADP,old_guard,11684,1980-03-17,2026-07-27,no,1980
ADSK,old_guard,10347,1985-06-28,2026-07-27,no,1985
AEO,casualty,8124,1994-04-14,2026-07-27,no,1994
AEP,survivor,14262,1970-01-02,2026-07-27,no,1970
AET,delisted_candidate,5781,1995-12-14,2018-11-29,yes,1995
AIG,survivor,13504,1973-01-02,2026-07-27,no,1973
AKAM,survivor,6724,1999-10-29,2026-07-27,no,1999
ALK,old_guard,11684,1980-03-17,2026-07-27,no,1980
ALL,survivor,8343,1993-06-03,2026-07-27,no,1993
AMAT,old_guard,11684,1980-03-17,2026-07-27,no,1980
AMD,survivor,11684,1980-03-17,2026-07-27,no,1980
AMGN,survivor,10861,1983-06-17,2026-07-27,no,1983
AMT,survivor,7146,1998-02-27,2026-07-27,no,1998
AMZN,survivor,7344,1997-05-15,2026-07-27,no,1997
ANDV,delisted_candidate,11503,1972-07-13,2018-10-01,yes,1972
ANF,casualty,7504,1996-09-26,2026-07-27,no,1996
APA,survivor,11896,1979-05-15,2026-07-27,no,1979
APD,old_guard,11684,1980-03-17,2026-07-27,no,1980
ATHM,casualty,3173,2013-12-11,2026-07-27,no,2013
AVGO,survivor,4268,2009-08-06,2026-07-27,no,2009
AXP,survivor,13650,1972-06-01,2026-07-27,no,1972
BA,survivor,14262,1970-01-02,2026-07-27,no,1970
BAC,survivor,13470,1973-02-21,2026-07-27,no,1973
BAX,survivor,11276,1981-10-27,2026-07-27,no,1981
BBY,survivor,10397,1985-04-18,2026-07-27,no,1985
BDX,old_guard,13470,1973-02-21,2026-07-27,no,1973
BIIB,survivor,8776,1991-09-17,2026-07-27,no,1991
BKR,old_guard,9901,1987-04-06,2026-07-27,no,1987
BLK,survivor,6744,1999-10-01,2026-07-27,no,1999
BMY,survivor,13650,1972-06-01,2026-07-27,no,1972
BSX,survivor,8606,1992-05-19,2026-07-27,no,1992
C,survivor,12493,1977-01-03,2026-07-27,no,1977
CAG,old_guard,11684,1980-03-17,2026-07-27,no,1980
CAH,old_guard,10828,1983-08-04,2026-07-27,no,1983
CAT,survivor,14262,1970-01-02,2026-07-27,no,1970
CC,casualty,2791,2015-06-19,2026-07-27,no,2015
CCI,survivor,7027,1998-08-18,2026-07-27,no,1998
CDNS,old_guard,9856,1987-06-10,2026-07-27,no,1987
CI,survivor,11169,1982-03-31,2026-07-27,no,1982
CL,survivor,13421,1973-05-02,2026-07-27,no,1973
CLF,survivor,13470,1973-02-21,2026-07-27,no,1973
CLX,survivor,13470,1973-02-21,2026-07-27,no,1973
CMCSA,survivor,11684,1980-03-17,2026-07-27,no,1980
CME,old_guard,5945,2002-12-06,2026-07-27,no,2002
CMI,old_guard,13470,1973-02-21,2026-07-27,no,1973
COF,survivor,7974,1994-11-16,2026-07-27,no,1994
COP,survivor,11231,1981-12-31,2026-07-27,no,1981
COST,survivor,10089,1986-07-09,2026-07-27,no,1986
COTY,survivor,3299,2013-06-13,2026-07-27,no,2013
CPB,survivor,13470,1973-02-21,2026-07-27,no,1973
CRM,survivor,5558,2004-06-23,2026-07-27,no,2004
