symbol,date,firm,from_grade,to_grade,action
AAPL,2026-07-23,Morgan Stanley,Overweight,Overweight,main
AAPL,2026-07-17,HSBC,Hold,Buy,up
AAPL,2026-07-14,Keybanc,Sector Weight,Underweight,down
AAPL,2026-07-13,Citigroup,Buy,Buy,main
AAPL,2026-06-25,Evercore ISI Group,Outperform,Outperform,reit
AAPL,2026-06-22,KGI Securities,Outperform,Hold,down
AAPL,2026-06-18,B of A Securities,Buy,Buy,reit
AAPL,2026-06-09,TD Cowen,Buy,Buy,main
AAPL,2026-06-09,Maxim Group,Buy,Buy,main
AAPL,2026-06-09,Rosenblatt,Neutral,Neutral,main
AAPL,2026-06-09,Morgan Stanley,Overweight,Overweight,main
AAPL,2026-06-09,Needham,Hold,Hold,reit
AAPL,2026-06-05,Wedbush,Outperform,Outperform,reit
AAPL,2026-05-26,B of A Securities,Buy,Buy,main
AAPL,2026-05-14,Tigress Financial,Strong Buy,Strong Buy,main
AAPL,2026-05-14,Evercore ISI Group,Outperform,Outperform,main
AAPL,2026-05-08,Wedbush,Outperform,Outperform,main
AAPL,2026-05-01,UBS,Neutral,Neutral,main
AAPL,2026-05-01,Maxim Group,Buy,Buy,main
AAPL,2026-05-01,TD Cowen,Buy,Buy,main
AAPL,2026-05-01,Wedbush,Outperform,Outperform,reit
AAPL,2026-05-01,Barclays,Underweight,Underweight,main
AAPL,2026-05-01,Wells Fargo,Overweight,Overweight,main
AAPL,2026-05-01,DA Davidson,Neutral,Neutral,main
AAPL,2026-05-01,Rosenblatt,Neutral,Neutral,main
AAPL,2026-05-01,Morgan Stanley,Overweight,Overweight,main
AAPL,2026-05-01,Needham,Hold,Hold,reit
AAPL,2026-04-28,UBS,Neutral,Neutral,main
AAPL,2026-04-21,Wedbush,Outperform,Outperform,reit
AAPL,2026-04-21,Rosenblatt,Neutral,Neutral,main
AAPL,2026-04-17,BNP Paribas,Neutral,Outperform,up
AAPL,2026-04-14,B of A Securities,Buy,Buy,main
AAPL,2026-03-31,Wedbush,Outperform,Outperform,reit
AAPL,2026-03-27,Wedbush,Outperform,Outperform,reit
AAPL,2026-03-23,Morgan Stanley,Overweight,Overweight,reit
AAPL,2026-03-23,B of A Securities,Buy,Buy,main
AAPL,2026-03-05,Wedbush,Outperform,Outperform,reit
AAPL,2026-03-05,Rosenblatt,Neutral,Neutral,main
AAPL,2026-03-03,Barclays,Underweight,Underweight,main
AAPL,2026-02-17,Wedbush,Outperform,Outperform,reit
AAPL,2026-01-30,Jefferies,Hold,Hold,main
AAPL,2026-01-30,Maxim Group,Hold,Buy,up
AAPL,2026-01-30,JP Morgan,Overweight,Overweight,main
AAPL,2026-01-30,TD Cowen,Buy,Buy,reit
AAPL,2026-01-30,Barclays,Underweight,Underweight,main
AAPL,2026-01-30,DA Davidson,Neutral,Neutral,main
AAPL,2026-01-30,Wedbush,Outperform,Outperform,reit
AAPL,2026-01-30,Needham,Hold,Hold,reit
AAPL,2026-01-30,Rosenblatt,Neutral,Neutral,main
AAPL,2026-01-26,JP Morgan,Overweight,Overweight,main
AAPL,2026-01-26,Jefferies,Hold,Hold,main
AAPL,2026-01-20,Citigroup,Buy,Buy,main
AAPL,2026-01-20,Evercore ISI Group,Outperform,Outperform,reit
AAPL,2026-01-13,Wedbush,Outperform,Outperform,reit
AAPL,2026-01-12,Wedbush,Outperform,Outperform,reit
AAPL,2026-01-09,Evercore ISI Group,Outperform,Outperform,main
AAPL,2025-12-17,Morgan Stanley,Overweight,Overweight,main
AAPL,2025-12-09,Citigroup,Buy,Buy,main
AAPL,2025-12-08,Evercore ISI Group,Outperform,Outperform,main
AAPL,2025-12-08,Wedbush,Outperform,Outperform,main
AAPL,2025-12-05,CLSA,Outperform,Outperform,main
AAPL,2025-12-02,Loop Capital,Buy,Buy,main
AAPL,2025-11-04,Rosenblatt,Neutral,Neutral,main
AAPL,2025-10-31,Wells Fargo,Overweight,Overweight,main
AAPL,2025-10-31,Barclays,Underweight,Underweight,main
AAPL,2025-10-31,Citigroup,Buy,Buy,main
