symbol,concept,tag,fiscal_end,filed,value
AAPL,assets,Assets,2008-09-27,2009-10-27,39572000000
AAPL,assets,Assets,2009-09-26,2009-10-27,53851000000
AAPL,assets,Assets,2010-09-25,2010-10-27,75183000000
AAPL,assets,Assets,2011-09-24,2011-10-26,116371000000
AAPL,assets,Assets,2012-09-29,2012-10-31,176064000000
AAPL,assets,Assets,2013-09-28,2013-10-30,207000000000
AAPL,assets,Assets,2014-09-27,2014-10-27,231839000000
AAPL,assets,Assets,2015-09-26,2015-10-28,290479000000
AAPL,assets,Assets,2016-09-24,2016-10-26,321686000000
AAPL,assets,Assets,2017-09-30,2017-11-03,375319000000
AAPL,assets,Assets,2018-09-29,2018-11-05,365725000000
AAPL,assets,Assets,2019-09-28,2019-10-31,338516000000
AAPL,assets,Assets,2020-09-26,2020-10-30,323888000000
AAPL,assets,Assets,2021-09-25,2021-10-29,351002000000
AAPL,assets,Assets,2022-09-24,2022-10-28,352755000000
AAPL,assets,Assets,2023-09-30,2023-11-03,352583000000
AAPL,assets,Assets,2024-09-28,2024-11-01,364980000000
AAPL,assets,Assets,2025-09-27,2025-10-31,359241000000
AAPL,cogs,CostOfGoodsAndServicesSold,2007-09-29,2009-10-27,15852000000
AAPL,cogs,CostOfGoodsAndServicesSold,2008-09-27,2009-10-27,21334000000
AAPL,cogs,CostOfGoodsAndServicesSold,2009-09-26,2009-10-27,23397000000
AAPL,cogs,CostOfGoodsAndServicesSold,2010-09-25,2010-10-27,39541000000
AAPL,cogs,CostOfGoodsAndServicesSold,2011-09-24,2011-10-26,64431000000
AAPL,cogs,CostOfGoodsAndServicesSold,2012-09-29,2012-10-31,87846000000
AAPL,cogs,CostOfGoodsAndServicesSold,2013-09-28,2013-10-30,106606000000
AAPL,cogs,CostOfGoodsAndServicesSold,2014-09-27,2014-10-27,112258000000
AAPL,cogs,CostOfGoodsAndServicesSold,2015-09-26,2015-10-28,140089000000
AAPL,cogs,CostOfGoodsAndServicesSold,2016-09-24,2016-10-26,131376000000
AAPL,cogs,CostOfGoodsAndServicesSold,2017-09-30,2017-11-03,141048000000
AAPL,cogs,CostOfGoodsAndServicesSold,2018-09-29,2018-11-05,163756000000
AAPL,cogs,CostOfGoodsAndServicesSold,2019-09-28,2019-10-31,161782000000
AAPL,cogs,CostOfGoodsAndServicesSold,2020-09-26,2020-10-30,169559000000
AAPL,cogs,CostOfGoodsAndServicesSold,2021-09-25,2021-10-29,212981000000
AAPL,cogs,CostOfGoodsAndServicesSold,2022-09-24,2022-10-28,223546000000
AAPL,cogs,CostOfGoodsAndServicesSold,2023-09-30,2023-11-03,214137000000
AAPL,cogs,CostOfGoodsAndServicesSold,2024-09-28,2024-11-01,210352000000
AAPL,cogs,CostOfGoodsAndServicesSold,2025-09-27,2025-10-31,220960000000
AAPL,equity,StockholdersEquity,2006-09-30,2009-10-27,9984000000
AAPL,equity,StockholdersEquity,2007-09-29,2009-10-27,14532000000
AAPL,equity,StockholdersEquity,2008-09-27,2009-10-27,21030000000
AAPL,equity,StockholdersEquity,2009-09-26,2009-10-27,27832000000
AAPL,equity,StockholdersEquity,2010-09-25,2010-10-27,47791000000
AAPL,equity,StockholdersEquity,2011-09-24,2011-10-26,76615000000
AAPL,equity,StockholdersEquity,2012-09-29,2012-10-31,118210000000
AAPL,equity,StockholdersEquity,2013-09-28,2013-10-30,123549000000
AAPL,equity,StockholdersEquity,2014-09-27,2014-10-27,111547000000
AAPL,equity,StockholdersEquity,2015-09-26,2015-10-28,119355000000
AAPL,equity,StockholdersEquity,2016-09-24,2016-10-26,128249000000
AAPL,equity,StockholdersEquity,2017-09-30,2017-11-03,134047000000
AAPL,equity,StockholdersEquity,2018-09-29,2018-11-05,107147000000
AAPL,equity,StockholdersEquity,2019-09-28,2019-10-31,90488000000
AAPL,equity,StockholdersEquity,2020-09-26,2020-10-30,65339000000
AAPL,equity,StockholdersEquity,2021-09-25,2021-10-29,63090000000
