symbol,trans_date,filing_date,owner_cik,relationship,shares,price,value
AAPL,2015-07-24,2015-07-28,0001059235,director,100.0,124.27,12427.0
AAPL,2015-07-24,2015-07-28,0001059235,director,100.0,124.34,12434.0
AAPL,2015-07-24,2015-07-28,0001059235,director,100.0,124.33,12433.0
AAPL,2015-07-24,2015-07-28,0001059235,director,1500.0,124.12,186180.0
AAPL,2015-07-27,2015-07-28,0001059235,director,2000.0,122.9,245800.0
ABBV,2017-07-31,2017-08-02,0001171780,director,4000.0,70.45,281800.0
ABBV,2018-06-20,2018-06-22,0001171780,director,1013.0,98.63,99912.19
ABBV,2018-06-27,2018-06-29,0001194624,director,5400.0,91.9,496260.0
ABBV,2019-06-26,2019-06-28,0001171780,director,7500.0,67.3,504750.0
ABBV,2019-06-26,2019-06-28,0001563572,officer,30400.0,67.3,2045920.0
ABBV,2019-06-26,2019-06-28,0001061632,director,11500.0,67.5,776250.0
ABBV,2019-07-29,2019-07-31,0001659625,officer,30000.0,67.28,2018400.0
ABBV,2019-07-30,2019-07-31,0001061632,director,10000.0,66.35,663500.0
ABBV,2019-07-31,2019-08-02,0001061632,director,30000.0,66.02,1980600.0
ABBV,2019-08-01,2019-08-02,0001061632,director,25000.0,65.66,1641500.0
ABBV,2019-08-16,2019-08-20,0001761675,officer,15552.0,64.44,1002170.88
ABBV,2019-08-29,2019-08-30,0001762951,officer,7525.0,66.19,498079.75
ABBV,2019-09-16,2019-09-18,0001319245,officer,25000.0,70.42,1760500.0
ABBV,2020-03-03,2020-03-04,0001171780,director,2875.0,87.87,252626.25
ABBV,2020-03-18,2020-03-20,0001756865,officer,2200.0,68.18,149996.0
ABBV,2020-03-20,2020-03-20,0001756865,officer,800.0,67.5,54000.0
ABBV,2020-03-30,2020-03-20,0001756865,officer,750.0,69.0,51750.0
ABT,2013-10-31,2015-03-13,0001570003,officer,102.0,36.71,3744.42
ABT,2013-12-03,2015-03-13,0001570003,officer,4.0,37.5,150.0
ABT,2014-03-14,2015-03-13,0001570003,officer,52.0,39.11,2033.72
ABT,2016-07-25,2016-07-27,0001239129,officer_director,100.0,43.33,4333.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,600.0,43.39,26034.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,5300.0,43.3,229490.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,200.0,43.37,8674.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,233.0,43.3,10088.9
ABT,2016-07-25,2016-07-27,0001239129,officer_director,300.0,43.28,12984.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,900.0,43.32,38988.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,500.0,43.38,21690.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,4800.0,43.37,208176.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,2000.0,43.35,86700.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,3000.0,43.35,130050.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,1141.0,43.38,49496.58
ABT,2016-07-25,2016-07-27,0001239129,officer_director,3500.0,43.3,151550.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,1600.0,43.29,69264.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,7100.0,43.33,307643.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,4700.0,43.34,203698.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,6067.0,43.31,262761.77
ABT,2016-07-25,2016-07-27,0001239129,officer_director,18000.0,43.37,780660.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,200.0,43.26,8652.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,2300.0,43.21,99383.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,1772.0,43.17,76497.24
ABT,2016-07-25,2016-07-27,0001239129,officer_director,42445.0,43.27,1836595.15
ABT,2016-07-25,2016-07-27,0001239129,officer_director,10899.0,43.11,469855.89
ABT,2016-07-25,2016-07-27,0001239129,officer_director,4101.0,43.1,176753.1
ABT,2016-07-25,2016-07-27,0001239129,officer_director,5979.0,43.18,258173.22
ABT,2016-07-25,2016-07-27,0001239129,officer_director,100.0,43.12,4312.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,2800.0,43.26,121128.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,1700.0,43.3,73610.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,200.0,43.26,8652.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,12641.0,43.13,545206.33
ABT,2016-07-25,2016-07-27,0001239129,officer_director,9600.0,43.12,413952.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,500.0,43.26,21630.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,1900.0,43.29,82251.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,500.0,43.39,21695.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,7800.0,43.32,337896.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,12879.0,43.31,557789.49
ABT,2016-07-25,2016-07-27,0001239129,officer_director,2780.0,43.34,120485.2
ABT,2016-07-25,2016-07-27,0001239129,officer_director,7200.0,43.33,311976.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,100.0,43.34,4334.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,2900.0,43.36,125744.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,3400.0,43.36,147424.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,100.0,43.23,4323.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,200.0,43.32,8664.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,400.0,43.3,17320.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,3452.0,43.29,149437.08
ABT,2016-07-25,2016-07-27,0001239129,officer_director,2910.0,43.33,126090.3
ABT,2016-07-25,2016-07-27,0001239129,officer_director,3100.0,43.41,134571.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,6100.0,43.34,264374.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,3914.0,43.31,169515.34
ABT,2016-07-25,2016-07-27,0001239129,officer_director,4100.0,43.4,177940.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,5700.0,43.28,246696.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,5400.0,43.23,233442.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,300.0,43.25,12975.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,5700.0,43.38,247266.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,9656.0,43.37,418780.72
ABT,2016-07-25,2016-07-27,0001239129,officer_director,2200.0,43.27,95194.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,7200.0,43.35,312120.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,6900.0,43.35,299115.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,1622.0,43.26,70167.72
ABT,2016-07-25,2016-07-27,0001239129,officer_director,909.0,43.39,39441.51
ABT,2016-07-25,2016-07-27,0001239129,officer_director,4400.0,43.3,190520.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,5423.0,43.34,235032.82
ABT,2016-07-25,2016-07-27,0001239129,officer_director,1400.0,43.33,60662.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,14511.0,43.38,629487.18
ABT,2016-07-25,2016-07-27,0001239129,officer_director,9800.0,43.36,424928.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,100.0,43.31,4331.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,100.0,43.39,4339.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,1800.0,43.26,77868.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,148.0,43.28,6405.44
ABT,2016-07-25,2016-07-27,0001239129,officer_director,5300.0,43.36,229808.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,108.0,43.38,4685.04
ABT,2016-07-25,2016-07-27,0001239129,officer_director,5800.0,43.08,249864.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,656.0,43.34,28431.04
ABT,2016-07-25,2016-07-27,0001239129,officer_director,5131.0,43.14,221351.34
ABT,2016-07-25,2016-07-27,0001239129,officer_director,3200.0,43.31,138592.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,15775.0,43.2,681480.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,7875.0,43.2,340200.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,7575.0,43.22,327391.5
ABT,2016-07-25,2016-07-27,0001239129,officer_director,18961.0,43.28,820632.08
ABT,2016-07-25,2016-07-27,0001239129,officer_director,3217.0,43.13,138749.21
ABT,2016-07-25,2016-07-27,0001239129,officer_director,2224.0,43.23,96143.52
ABT,2016-07-25,2016-07-27,0001239129,officer_director,300.0,43.32,12996.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,1600.0,43.4,69440.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,4200.0,43.29,181818.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,100.0,43.35,4335.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,2800.0,43.39,121492.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,4300.0,43.32,186276.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,2500.0,43.31,108275.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,1300.0,43.23,56199.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,900.0,43.24,38916.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,100.0,43.27,4327.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,747.0,43.25,32307.75
ABT,2016-07-25,2016-07-27,0001239129,officer_director,300.0,43.37,13011.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,200.0,43.23,8646.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,7900.0,43.21,341359.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,53392.0,43.1,2301195.2
ABT,2016-07-25,2016-07-27,0001239129,officer_director,9701.0,43.3,420053.3
ABT,2016-07-25,2016-07-27,0001239129,officer_director,6719.0,43.29,290865.51
ABT,2016-07-25,2016-07-27,0001239129,officer_director,9601.0,43.09,413707.09
ABT,2016-07-25,2016-07-27,0001239129,officer_director,237.0,43.33,10269.21
ABT,2016-07-25,2016-07-27,0001239129,officer_director,3952.0,43.17,170607.84
ABT,2016-07-25,2016-07-27,0001239129,officer_director,35664.0,43.08,1536405.12
ABT,2016-07-25,2016-07-27,0001239129,officer_director,12600.0,43.19,544194.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,3220.0,43.15,138943.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,1800.0,43.19,77742.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,2100.0,43.16,90636.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,8700.0,43.15,375405.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,100.0,43.32,4332.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,1900.0,43.12,81928.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,7080.0,43.18,305714.4
ABT,2016-07-25,2016-07-27,0001239129,officer_director,3504.0,43.23,151477.92
ABT,2016-07-25,2016-07-27,0001239129,officer_director,100.0,43.15,4315.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,9100.0,43.24,393484.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,9198.0,43.27,397997.46
ABT,2016-07-25,2016-07-27,0001239129,officer_director,3800.0,43.24,164312.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,300.0,43.07,12921.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,6758.0,43.25,292283.5
ABT,2016-07-25,2016-07-27,0001239129,officer_director,7300.0,43.14,314922.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,20602.0,43.22,890418.44
ABT,2016-07-25,2016-07-27,0001239129,officer_director,13500.0,43.29,584415.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,100.0,43.27,4327.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,200.0,43.34,8668.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,10300.0,43.07,443621.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,25400.0,43.09,1094486.0
ABT,2016-07-25,2016-07-27,0001239129,officer_director,6575.0,43.25,284368.75
ABT,2016-07-25,2016-07-27,0001239129,officer_director,14802.0,43.26,640334.52
ABT,2016-07-25,2016-07-27,0001239129,officer_director,23598.0,43.28,1021321.44
ABT,2016-07-25,2016-07-27,0001239129,officer_director,10499.0,43.11,452611.89
