symbol,group,bars,first,last,delisted
AAPL,survivor,2514,2016-07-25,2026-07-24,no
MSFT,survivor,2514,2016-07-25,2026-07-24,no
GOOGL,survivor,2514,2016-07-25,2026-07-24,no
AMZN,survivor,2514,2016-07-25,2026-07-24,no
META,survivor,2514,2016-07-25,2026-07-24,no
INTC,survivor,2514,2016-07-25,2026-07-24,no
CSCO,survivor,2514,2016-07-25,2026-07-24,no
ORCL,survivor,2514,2016-07-25,2026-07-24,no
IBM,survivor,2514,2016-07-25,2026-07-24,no
QCOM,survivor,2514,2016-07-25,2026-07-24,no
TXN,survivor,2514,2016-07-25,2026-07-24,no
AVGO,survivor,2514,2016-07-25,2026-07-24,no
ADBE,survivor,2514,2016-07-25,2026-07-24,no
CRM,survivor,2514,2016-07-25,2026-07-24,no
NVDA,survivor,2514,2016-07-25,2026-07-24,no
AMD,survivor,2514,2016-07-25,2026-07-24,no
MU,survivor,2514,2016-07-25,2026-07-24,no
HPQ,survivor,2514,2016-07-25,2026-07-24,no
HPE,survivor,2514,2016-07-25,2026-07-24,no
STX,survivor,2514,2016-07-25,2026-07-24,no
WDC,survivor,2514,2016-07-25,2026-07-24,no
NTAP,survivor,2514,2016-07-25,2026-07-24,no
AKAM,survivor,2514,2016-07-25,2026-07-24,no
EBAY,survivor,2514,2016-07-25,2026-07-24,no
PYPL,survivor,2514,2016-07-25,2026-07-24,no
NFLX,survivor,2514,2016-07-25,2026-07-24,no
DIS,survivor,2514,2016-07-25,2026-07-24,no
CMCSA,survivor,2514,2016-07-25,2026-07-24,no
T,survivor,2514,2016-07-25,2026-07-24,no
VZ,survivor,2514,2016-07-25,2026-07-24,no
TMUS,survivor,2514,2016-07-25,2026-07-24,no
JPM,survivor,2514,2016-07-25,2026-07-24,no
BAC,survivor,2514,2016-07-25,2026-07-24,no
WFC,survivor,2514,2016-07-25,2026-07-24,no
C,survivor,2514,2016-07-25,2026-07-24,no
GS,survivor,2514,2016-07-25,2026-07-24,no
MS,survivor,2514,2016-07-25,2026-07-24,no
USB,survivor,2514,2016-07-25,2026-07-24,no
PNC,survivor,2514,2016-07-25,2026-07-24,no
AXP,survivor,2514,2016-07-25,2026-07-24,no
SCHW,survivor,2514,2016-07-25,2026-07-24,no
BLK,survivor,2514,2016-07-25,2026-07-24,no
COF,survivor,2514,2016-07-25,2026-07-24,no
TRV,survivor,2514,2016-07-25,2026-07-24,no
ALL,survivor,2514,2016-07-25,2026-07-24,no
PGR,survivor,2514,2016-07-25,2026-07-24,no
