bucket,window_days,n,median,mean
down,-20,3573,-0.02496271763727842,-0.028211660448485304
down,-60,3525,-0.037256673765038606,-0.03437496945425419
down,20,5410,-0.003356986141480389,0.0027746293200633402
down,60,5376,-0.0023494043948300014,0.0038199039543532548
down,120,5309,-0.0009442104437755727,0.019673553382419228
up,-20,3892,0.019115993807432563,0.03015380858166049
up,-60,3834,0.02437719515248027,0.04340939510266472
up,20,5569,-0.0008003329942678494,0.002694228537774043
up,60,5524,-0.0006951855521932782,0.0071652277186509804
up,120,5436,0.0017927565748321328,0.028859019712219592
control,-20,20000,-0.003525919106787123,-0.0006123946690530618
control,-60,20000,-0.010630948279137131,-0.0036654375786778835
control,20,20000,-0.0035749862199423443,0.0009554084590892632
control,60,20000,-0.006876482157368247,0.000506592204368761
control,120,20000,-0.018672093997814443,-0.00043638209476803074
