era,rank_share,mean_edge,median_edge,win_pct
1973-1982 stagflation,0.0,-0.027013181532919546,0.00019850912628538442,50.66666666666667
1973-1982 stagflation,0.25,-0.35418106020182755,-0.024424373112036935,47.333333333333336
1973-1982 stagflation,0.5,-0.3454332071613838,-0.05388145828849289,44.666666666666664
1973-1982 stagflation,0.75,-0.3486415019082927,-0.07636460767286357,38.0
1973-1982 stagflation,1.0,-0.3512988539358774,-0.09927351718169897,29.333333333333332
1983-1992,0.0,0.04471826072377948,0.028198885367912707,57.333333333333336
1983-1992,0.25,0.6794557227303273,0.39703357812994056,69.33333333333334
1983-1992,0.5,0.6287728025142953,0.37498377521208837,69.33333333333334
1983-1992,0.75,0.5678180170011292,0.36524313805361763,70.66666666666667
1983-1992,1.0,0.5246788891129145,0.40721019323909635,74.0
1993-2002 dot-com,0.0,0.02267515924603019,0.047098454338971196,62.0
1993-2002 dot-com,0.25,0.2172183824285349,0.2841418302851334,70.66666666666667
1993-2002 dot-com,0.5,0.15379139751201076,0.20576426950219284,68.66666666666667
1993-2002 dot-com,0.75,0.08508623061360335,0.13356162178482223,64.66666666666666
1993-2002 dot-com,1.0,0.015293169834705876,0.050553208973859176,57.333333333333336
2000-2009 lost decade,0.0,0.060620277538228094,0.04780052970013138,66.66666666666666
2000-2009 lost decade,0.25,-0.06853339144492285,-0.05883618494566023,35.333333333333336
2000-2009 lost decade,0.5,-0.08024252119311587,-0.08651548434504186,26.666666666666668
2000-2009 lost decade,0.75,-0.09447760849010947,-0.09982282899842843,25.333333333333336
2000-2009 lost decade,1.0,-0.10034046948175455,-0.10841556662402585,23.333333333333332
2003-2012 GFC,0.0,-0.013333005821954864,0.03833702763121449,70.0
2003-2012 GFC,0.25,0.10974491882261228,0.14717733314462444,70.0
2003-2012 GFC,0.5,0.0868851519296945,0.11831387259580639,68.0
2003-2012 GFC,0.75,0.06668692886888308,0.09235700879292352,67.33333333333333
2003-2012 GFC,1.0,0.05707610404419372,0.08449472446986483,66.0
2013-2022,0.0,-0.01868185501280624,0.011730949932003742,54.666666666666664
2013-2022,0.25,0.06659273337680315,0.09495652672707289,64.0
2013-2022,0.5,0.03301933293534573,0.051671925843190136,60.66666666666667
2013-2022,0.75,-0.004669196037873436,0.029815452837336442,54.666666666666664
2013-2022,1.0,-0.036807948049559266,-0.0253352100733637,46.666666666666664
2016-2026 original,0.0,-0.11760921864021552,0.017225664948658403,54.0
2016-2026 original,0.25,0.2167750554033179,-0.050688882018432246,47.333333333333336
2016-2026 original,0.5,0.3869152677316231,-0.07686197129286598,45.33333333333333
2016-2026 original,0.75,0.6773239041523834,-0.07654809900568349,44.0
2016-2026 original,1.0,0.981913760463295,-0.06044941783045832,42.0
