scenario,scheme,n,mean_net_exempt,vs_immediate_exempt,spread,p5_vs_immediate,mean_net_marginal,vs_immediate_marginal,mean_years_touched
EXP-012 A  random exit date (unconditional),immediate,5920,13584.06682224836,0.0,0.0,0.0,13306.020100012827,0.0,1.0
EXP-012 A  random exit date (unconditional),2 x weekly,5920,13604.450421168658,0.0018061060613010493,0.021380304809431625,-0.029744895014264472,13322.03823557355,0.001541040958845663,1.0172297297297297
EXP-012 A  random exit date (unconditional),4 x weekly,5920,13641.848205992794,0.0051227569450860155,0.03869692635889919,-0.05180387113538498,13352.181008552103,0.004434084878297995,1.0554054054054054
EXP-012 A  random exit date (unconditional),8 x weekly,5920,13720.053959756518,0.011820355813609407,0.060824603914745395,-0.07569684942113053,13416.803045218969,0.010304208324887876,1.133277027027027
EXP-012 A  random exit date (unconditional),2 x monthly,5920,13671.62016024724,0.007705922026428169,0.041828542273953585,-0.05301362443436408,13374.1116664352,0.006506405137504112,1.0800675675675675
EXP-012 A  random exit date (unconditional),4 x monthly,5920,13846.292884735874,0.022157166418525387,0.0796969120593043,-0.08795203908137883,13517.289007069423,0.018980714291136014,1.2386824324324324
EXP-012 A  random exit date (unconditional),8 x monthly,5920,14210.265916604189,0.052641437028823956,0.13691743996897324,-0.12641039532769605,13813.383158795976,0.04507864214192914,1.5883445945945946
EXP-012 A  random exit date (unconditional),4 x quarterly,5920,14407.225915111121,0.0690412455094136,0.157622465866244,-0.13362648263423638,13958.093864111112,0.057967797858749615,1.764695945945946
EXP-012 A  random exit date (unconditional),2 x half-year,5920,14139.773716658234,0.04682899467291968,0.11589366681167106,-0.10280898176224629,13745.410160070614,0.03927744093396468,1.4886824324324324
EXP-012 B  exit after a 20% drawdown from the 250d high (bad-news proxy),immediate,2089,13360.928785826314,0.0,0.0,0.0,13119.040339267407,0.0,1.0
EXP-012 B  exit after a 20% drawdown from the 250d high (bad-news proxy),2 x weekly,2089,13243.718962172823,-0.007469195167569498,0.02344587855358201,-0.046250051028142725,13003.1194641034,-0.00741981724344265,1.0086165629487793
EXP-012 B  exit after a 20% drawdown from the 250d high (bad-news proxy),4 x weekly,2089,13226.502361028093,-0.007584468203099881,0.042504442830676774,-0.0792749448741441,12979.76676180722,-0.007950699450733123,1.0473910962182862
EXP-012 B  exit after a 20% drawdown from the 250d high (bad-news proxy),8 x weekly,2089,13292.66616120324,-0.0002511562459905914,0.06569269309776908,-0.10220646644739928,13033.350434386299,-0.0015119597617541114,1.1081857348013404
EXP-012 B  exit after a 20% drawdown from the 250d high (bad-news proxy),2 x monthly,2089,13314.995504261098,-0.0001490484482437049,0.04490397492218173,-0.07073836102417763,13059.899694652266,-0.0010863271175194367,1.067017711823839
EXP-012 B  exit after a 20% drawdown from the 250d high (bad-news proxy),4 x monthly,2089,13516.934131939164,0.018375472505829826,0.0833089433358744,-0.11140753867610609,13230.032973869726,0.015234592060243468,1.206318812829105
EXP-012 B  exit after a 20% drawdown from the 250d high (bad-news proxy),8 x monthly,2089,13912.156279006173,0.05094508226993155,0.1405919652542769,-0.15916234593719447,13557.758629416629,0.043142069479119804,1.5600765916706558
EXP-012 B  exit after a 20% drawdown from the 250d high (bad-news proxy),4 x quarterly,2089,14156.960470275193,0.07067818213895971,0.1628305838979561,-0.1597579614038901,13749.40243870041,0.059459330501790086,1.7510770703685974
EXP-012 B  exit after a 20% drawdown from the 250d high (bad-news proxy),2 x half-year,2089,13905.96017385857,0.04791953046111508,0.11920369433688881,-0.11883056385404334,13558.656410238998,0.04059655780337823,1.4652943992340832
