bucket,window_days,n,median,mean
1 insider,-20,756,-0.020025959808509353,-0.018095786431078124
1 insider,-60,749,-0.03778431025658602,-0.031444669901801704
1 insider,20,925,-0.0009827491356727558,0.007765595274482547
1 insider,60,925,-0.0026641882551280416,0.01856383736815368
1 insider,120,912,-0.01025575024135117,0.023978882307731524
2 insiders,-20,136,-0.0415154870038833,-0.04251703016911816
2 insiders,-60,132,-0.08311921583154308,-0.07480945552427752
2 insiders,20,155,0.011346574849311564,0.013538208745092747
2 insiders,60,155,0.020859926636851434,0.01748129145505543
2 insiders,120,152,0.028439501460410854,0.02677484630451929
3+ insiders,-20,123,-0.049934631228730986,-0.0679874376153651
3+ insiders,-60,123,-0.11864166687291955,-0.09854958206851441
3+ insiders,20,148,0.003281777834300059,0.008091067539084267
3+ insiders,60,148,-0.0013695248564352114,0.005398417602778893
3+ insiders,120,146,0.01516993519564902,0.01130969070784786
control,-20,20000,-0.0033834051129165155,-0.0016514623220064998
control,-60,20000,-0.006376064610332466,-0.0020924300490169565
control,20,20000,-0.00263956126320275,7.58944024825297e-05
control,60,20000,-0.006450288630623469,0.0008553008113578057
control,120,20000,-0.014295382826144731,0.002611599233101806
