symbol,events,median_duration,whipsaw_rate,median_roundtrip,median_avoided,value_0,value_25,value_50,value_75,value_100
AAPL,26,2.5,0.8076923076923077,0.023085135402079793,0.0,93389.04921111742,78146.53436896698,65349.789415175095,54475.51616545994,45248.539474882295
MSFT,33,2,0.7878787878787878,0.015631206466880432,0.0013448563645932499,61102.705369106116,59509.054571640845,57842.25233680599,56021.15011337458,54070.319380609675
GOOGL,31,2,0.7419354838709677,0.025842021070656473,0.007821439584493217,67183.518425174,59730.00883716578,52871.43539657749,46441.60009906339,40500.07646418847
AMZN,44,3.0,0.9318181818181818,0.020927016228912243,0.005960077540148989,48595.30974831307,38631.932236254135,30198.270767991544,23193.927728751136,17532.885520040632
META,28,3.0,0.7857142857142857,0.025589021381323906,0.009374671431060355,40544.368161615566,39115.98726486908,36746.03810309531,33717.54169747467,30346.444542570393
INTC,32,8.0,0.78125,0.027443126536889295,0.017848081966971574,31224.65855859148,29910.677269262243,27962.022044475718,25456.899298180444,22626.66220001018
CSCO,30,3.5,0.7666666666666667,0.014683842373168332,0.0031846023186605232,43764.25466361743,40546.26185802816,37622.6735153815,34768.693436914145,32032.070849588505
ORCL,39,3,0.8205128205128205,0.0207494519257736,0.006433782161300194,29105.948750712745,26221.301298619874,23272.686364781846,20298.220253482115,17426.786495665638
IBM,45,5,0.8444444444444444,0.017636942705910874,0.008450718721806139,21414.893998162646,16119.999571561411,12166.16895519592,9126.707183584429,6802.845354827772
QCOM,49,5,0.7959183673469388,0.023477503678321687,0.011010982389163648,38407.82737441773,25972.13925524703,17391.316599738046,11465.724840808136,7427.9439899347135
TXN,42,5.0,0.7619047619047619,0.017003733269356336,0.009758363822317262,43928.392714943606,35667.06726384931,28974.63092801216,23465.26802374117,18943.211292031458
AVGO,36,3.0,0.8611111111111112,0.026998264749569123,0.004900553545541975,206421.12169240857,153206.70576898364,113686.49799304649,83801.05463536599,61448.468817862224
ADBE,28,3.5,0.8571428571428571,0.023767781199601212,0.007408681993244126,16397.59529285199,19260.46655864477,21201.713541933765,22236.708083142566,22470.711598875663
CRM,31,3,0.9032258064516129,0.02228638442642561,0.011461482460779271,18539.44697161351,17543.3611666737,16237.75600119348,14702.938184275932,13054.558613797475
NVDA,14,5.5,0.7857142857142857,0.04582779237158974,0.04712066265904413,625028.7154092626,624286.4807662924,614007.3579351489,595574.0924292535,570404.0275473517
AMD,35,2,0.8285714285714286,0.02818101710161014,0.003310018969700068,441548.18817850936,351605.65302812034,276159.524922991,213944.4707768711,163543.73517914116
MU,38,5.0,0.7368421052631579,0.033841550412101795,0.01775623131581472,333023.44392625266,255663.71775182194,194107.84460504033,145129.46160448345,106814.38129786645
HPQ,35,5,0.8,0.016974155285673254,0.011418525968842186,18082.46916397138,15707.745907177288,13609.300986796658,11726.913031343507,10059.759426943307
HPE,55,3,0.9090909090909091,0.024783438596866603,0.0034199887093619985,42131.4175793227,31546.55550805298,23367.038353954336,17111.866959069906,12402.499428542025
STX,32,3.5,0.90625,0.025545415367087432,0.008183294255636298,283203.62534485443,239444.5821470423,201793.15713038115,168824.0672419539,140196.17359040515
WDC,38,4.5,0.7368421052631579,0.02010015703906498,0.021185237526263945,86768.20661402555,84861.56161535767,82315.80299782894,78548.95462241255,73853.95419393337
NTAP,32,4.5,0.84375,0.024437664411801285,0.0066721115980225565,51196.72417749309,42488.38591342644,35071.44473099382,28691.944924770087,23248.315415399524
AKAM,37,3,0.7027027027027027,0.01253378453972065,0.0016761026669361856,23627.1598983339,21006.854120622942,18633.971305780015,16428.36130378321,14396.465491747105
EBAY,35,3,0.8285714285714286,0.012383207877256996,0.004422335928535803,35759.8535280913,34915.387612577564,33827.93516111002,32374.130794425884,30659.361777010447
PYPL,34,4.5,0.7941176470588235,0.02770434917067266,0.025098537433036916,11349.96191304875,14387.822870805476,16093.159738872379,16707.25014267131,16493.400837330726
NFLX,24,2.5,0.7916666666666666,0.019982841881418523,0.0029341891041837487,44299.33766563209,51772.593379290054,57931.44425748086,62653.80807073122,65976.01123854153
DIS,35,3,0.8571428571428571,0.015309448132138526,0.006026956860903709,9455.054041201416,9795.00009316583,9950.710776584881,9905.164956959714,9698.634767798383
CMCSA,39,4,0.7692307692307693,0.014747935853783867,0.01415644698075802,7877.385764537786,8198.195300637304,8480.017914439584,8653.156924786792,8723.354434736275
T,48,3.0,0.8125,0.012076076534892621,0.0006846542868090832,16017.938815934775,13680.00074097892,11714.669005095973,9979.615404074826,8479.352672622312
VZ,59,4,0.864406779661017,0.010079583761413602,0.004910940481563264,16936.338707132614,14112.772098478237,11802.741751092814,9813.40142896033,8106.526511130573
TMUS,39,3,0.8717948717948718,0.01410549169763331,0.00862415900492386,28760.359019898937,26583.51326784343,24602.723756524,22681.702042493856,20833.264228288434
JPM,28,4.0,0.8571428571428571,0.02588637990962528,0.004497655851944282,51440.756818324364,46226.95207350162,41461.27645186736,37002.87755046544,32866.627764495584
BAC,35,3,0.8,0.01631927231257424,0.007692355697703879,32776.533696241575,29791.690653497568,27099.67061219456,24536.365309498276,22153.803015727834
WFC,50,3.0,0.86,0.018474480646856084,0.00761144427568311,20743.939368513813,18698.391654661307,16659.708696732974,14594.056035316014,12589.166908065628
C,31,4,0.7419354838709677,0.017028044534740605,0.014543533791679164,28165.908098195618,28959.660375674357,29490.373953844635,29622.436015152496,29373.665782793432
GS,38,5.0,0.868421052631579,0.019897111272890844,0.011192122083741707,57204.320003162014,46854.038349929775,38445.30635541033,31398.3817293521,25523.21473738339
MS,36,3.0,0.8055555555555556,0.019856031842326094,0.006776022929095182,64132.87768102851,53199.06040910954,44105.865172672675,36377.19764064474,29824.517522474798
USB,37,4,0.7837837837837838,0.016436968367608884,0.008331273667917416,17471.114571945345,16770.625252481088,16098.057828854338,15352.620764303092,14532.271195814457
PNC,33,3,0.696969696969697,0.014516429139083131,0.0035063824265672006,27943.97600729716,27619.076624315654,27282.64324774574,26810.662820615962,26217.01845590241
