portfolio,drift_even_mult,drift_even_vs_base,drift_even_mdd,drift_even_tax,drift_even_sells,drift_even_eqshare,buy_only_mult,buy_only_vs_base,buy_only_mdd,buy_only_tax,buy_only_sells,buy_only_eqshare,buy_capped_mult,buy_capped_vs_base,buy_capped_mdd,buy_capped_tax,buy_capped_sells,buy_capped_eqshare,full_annual_mult,full_annual_vs_base,full_annual_mdd,full_annual_tax,full_annual_sells,full_annual_eqshare,cash_band_mult,cash_band_vs_base,cash_band_mdd,cash_band_tax,cash_band_sells,cash_band_eqshare
0,4.2177837652581625,0.0,0.22534816732074167,0,0,0.9851817913201687,4.026598852147429,-0.1911849131107335,0.24196031577579616,0,0,0.9844750224188535,3.813155538063173,-0.40462822719498925,0.23789386658088876,0,0,0.9262408956025316,3.333251840954447,-0.8845319243037153,0.2241519449284228,52797.67638829279,44,0.7971858649656423,3.467924507268328,-0.7498592579898347,0.21953727935214776,6929.408863390485,30,0.8548321579052462
1,5.0675427457483035,0.0,0.34034589377872054,0,0,0.9876666062555787,4.794368407312665,-0.27317433843563865,0.3354675328978904,0,0,0.9869614923551978,4.629851019354633,-0.4376917263936706,0.3284676049015077,0,0,0.9419527758287433,3.275586045621885,-1.7919567001264185,0.31799409902134335,51183.5688964255,46,0.7984459448090425,4.21050619712438,-0.857036548623924,0.30403532238497677,6554.100238549378,30,0.8815853672964018
2,3.7265928582935883,0.0,0.2925888231226395,0,0,0.9832286481575508,3.754499991120614,0.027907132827025727,0.29868139744595107,0,0,0.983351690860058,3.557401365359193,-0.16919149293439517,0.29868139744595107,0,0,0.9244524604804082,3.2962590432555516,-0.4303338150380367,0.27298526428176645,50595.02879633354,45,0.8052654660340601,3.269155281829626,-0.45743757646396244,0.2662114498958654,7553.601670471849,30,0.8457213359423916
3,2.407812721781409,0.0,0.3568215724875393,0,0,0.974042831722494,2.622748057708359,0.2149353359269499,0.3770211938799963,0,0,0.9761700328720824,2.505869551894941,0.09805683011353183,0.3770211938799963,0,0,0.9151990973196081,2.488984464728771,0.08117174294736174,0.34895747231175817,19111.475037223063,43,0.7965645604797288,2.3684237021243235,-0.03938901965708563,0.3338677270769931,6153.116457037297,30,0.7890164563028073
4,5.3971715231789,0.0,0.2938978370468875,0,0,0.9884198603413686,5.1060440017092805,-0.29112752146961984,0.2949942021295451,0,0,0.987757062182991,4.909690574354354,-0.4874809488245466,0.2821959067957426,0,0,0.9299833768043614,3.482913047508605,-1.9142584756702954,0.2624120573565157,41305.463876362264,43,0.800873525949342,4.4020558734497195,-0.9951156497291809,0.261903038324801,6228.597809926247,30,0.886206891150621
5,1.5824247309144324,0.0,0.285563664184144,0,0,0.960503650645119,1.6818348027571774,0.09941007184274508,0.2834814578407326,0,0,0.9628382050974696,1.6445159456578662,0.06209121474343382,0.2834814578407326,0,0,0.9087849586970405,1.6411802038091388,0.058755472894706395,0.26262209751235305,6356.648298012736,50,0.8152168491494599,1.598262309410748,0.01583757849631562,0.2522517327233477,1089.9449498702904,20,0.844295031998108
6,1.6877114867272736,0.0,0.3193615372615092,0,0,0.9629676040653151,1.7232910237444206,0.035579537017147,0.29032125948007736,0,0,0.963732185023399,1.6950718101200735,0.007360323392799906,0.27652339388616665,0,0,0.900446695536724,1.6676856689900141,-0.02002581773725942,0.22738418991923864,10638.432378622521,50,0.8101761538897376,1.6441054641520418,-0.04360602257523172,0.26993646191993,1453.8698195607483,20,0.8486000241790209
7,2.100308364637336,0.0,0.2997818277519659,0,0,0.9702424648435888,2.1908372765829265,0.09052891194559054,0.30227853292734325,0,0,0.9714720939487199,2.1279247066398987,0.0276163420025628,0.30227853292734325,0,0,0.9060117120798836,1.946966318115582,-0.15334204652175387,0.28190698721623647,8291.070677310961,49,0.8112155414644984,2.012634977904796,-0.08767338673253988,0.2692113872281172,1418.2424373764213,20,0.8760529741267187
8,1.9523599136676333,0.0,0.3564460865570388,0,0,0.9679874599132751,1.9270254403975224,-0.025334473270110847,0.36582114138162036,0,0,0.9675657999010734,1.8937415317810269,-0.0586183818866064,0.36582114138162036,0,0,0.9075903458507265,1.7665782196830813,-0.18578169398455202,0.33964618645499345,6636.631309597711,49,0.8121078089554699,1.8104178745231603,-0.141942039144473,0.36582114138162036,1064.032702065583,20,0.8603538630656739
9,2.5102517612332877,0.0,0.2922175240879758,0,0,0.9751020989347723,2.638962018969941,0.12871025773665323,0.31651356091667776,0,0,0.9763164458030376,2.4839366081327987,-0.02631515310048904,0.31651356091667776,0,0,0.90438564365033,2.467462443901048,-0.04278931733223956,0.29163156185194317,14550.862608859783,50,0.8042819195186328,2.4038450741263917,-0.10640668710689605,0.283581917374736,1415.4533481208541,20,0.8960280119110364
10,4.396621854881533,0.0,0.3436465221621438,0,0,0.9857845404806405,4.0262707408218645,-0.3703511140596687,0.34728181479576964,0,0,0.9844754288107205,3.825710598705952,-0.5709112561755814,0.34728181479576964,0,0,0.9313829955720729,3.1419058104894377,-1.2547160443920955,0.31776078323025725,35437.0296357684,45,0.7988394924694056,3.4654799037536215,-0.9311419511279118,0.30782947263941207,5920.52901258149,30,0.8561339619706884
11,4.337299928131036,0.0,0.2785068907550265,0,0,0.9855901134264119,3.9911220757209653,-0.3461778524100705,0.30667025046131263,0,0,0.9843402434668176,3.9376893625932543,-0.3996105655377815,0.30667025046131263,0,0,0.9079409352490753,2.116570334896348,-2.220729593234688,0.2862042157881658,21601.350266822832,40,0.7986313408041734,3.5432199903816795,-0.7940799377493564,0.27546200995184206,5613.898258859478,30,0.8585323901483436
12,3.456838353348825,0.0,0.31382734940904955,0,0,0.9819198951147216,3.4365931408496158,-0.02024521249920941,0.30912369070609447,0,0,0.9818130182168489,3.376004360798286,-0.08083399255053925,0.30278827070834513,0,0,0.9296504319174504,2.262420212970509,-1.1944181403783163,0.2867835721709678,24109.892597614184,42,0.8050203235939057,3.1075268755522294,-0.34931147779659577,0.2815462210499469,6288.156611620326,30,0.8368588403355028
13,2.042786102979618,0.0,0.3215519730053552,0,0,0.9694045304553242,2.2263007838506548,0.18351468087103662,0.33388604614323947,0,0,0.9719256769400167,2.1625969926796405,0.1198108897000223,0.33388604614323947,0,0,0.904627771348706,1.9945470828087906,-0.048239020170827596,0.3087434661921455,9822.572909713837,52,0.7943894851947001,2.0738067982756236,0.031020695296005485,0.2968844651713793,1611.9800511684548,20,0.87862160365962
14,3.6317406203104707,0.0,0.3112847357524474,0,0,0.9827906212105376,3.4580691433841086,-0.1736714769263621,0.34532847953317153,0,0,0.9819247274083838,3.2730834625077625,-0.35865715780270824,0.34532847953317153,0,0,0.9197999414025706,3.1047714127235033,-0.5269692075869674,0.31656622798842854,42279.79576379188,38,0.8004574169543817,2.9881823010505575,-0.6435583192599132,0.30612537867369893,6421.39588905254,30,0.8332749820651335
15,1.9313324680390538,0.0,0.33338337803854673,0,0,0.9676389223324877,2.134647218439044,0.20331475039999014,0.35543925458308956,0,0,0.9707211573602766,2.0396878837898917,0.10835541575083796,0.35543925458308956,0,0,0.9080741708130308,2.116053003590295,0.18472053555124135,0.3225583399082486,12315.478678261381,47,0.8104064534452896,1.9743489077250547,0.043016439686000885,0.35543925458308956,1470.188715072056,20,0.8731679994100199
16,3.4682707791498126,0.0,0.37021559071830046,0,0,0.9819794923811224,3.3646776485348937,-0.10359313061491893,0.38239130342118033,0,0,0.981423960852692,3.2033290871822997,-0.26494169196751294,0.38239130342118033,0,0,0.9278087335320674,2.6559577117138384,-0.8123130674359742,0.3517956897168188,28863.80394295785,46,0.8060300265166899,2.8843585347534404,-0.5839122443963722,0.38239130342118033,5068.754232521604,30,0.824976983317859
17,1.6138362409945766,0.0,0.4230598793967172,0,0,0.9612724027306002,1.7160675111996,0.10223127020502343,0.4400073469850783,0,0,0.9635760269424201,1.6964445688366177,0.08260832784204108,0.4400073469850783,0,0,0.900523718904266,1.6542525555948595,0.04041631460028294,0.4018118275112148,6539.894083764484,54,0.8026032456951944,1.7263100373546596,0.11247379636008303,0.39226319620054856,1746.1020843440838,30,0.8122814471404646
18,4.296737377509375,0.0,0.29481739976530047,0,0,0.9854540795704325,4.282159607849626,-0.014577769659749329,0.3141017095853117,0,0,0.9854045608469542,4.093300606377717,-0.20343677113165803,0.30729745923761814,0,0,0.9312901672645815,2.978980877473555,-1.31775650003582,0.2909939462945006,31668.59658025758,40,0.8067847121721031,3.7720959288229534,-0.5246414486864217,0.28461069979418957,6556.450455262331,30,0.8654511051551487
19,2.1755050849150126,0.0,0.34446156660213995,0,0,0.9712710393400705,2.176350011159398,0.0008449262443854799,0.3441446468665021,0,0,0.9712821928092786,2.1020789262106585,-0.0734261587043541,0.3441446468665021,0,0,0.9048531329966053,2.054198387027592,-0.12130669788742043,0.31474291620456635,8465.882285856922,57,0.7942065875433624,2.020600548320852,-0.1549045365941608,0.30875311172871617,1711.7614814779306,20,0.8762930385091695
20,3.570681598962877,0.0,0.2570416466694462,0,0,0.9824963390692261,3.3035352644897844,-0.26714633447309266,0.2623425973200157,0,0,0.9810808739740657,3.1757422436018485,-0.39493935536102853,0.26015985898865446,0,0,0.9330865090112012,2.5852903036189376,-0.9853912953439394,0.24237914195875074,34304.59414682877,48,0.8053134933517825,2.9026072463642465,-0.6680743525986306,0.23583455693257435,3882.6088135030627,30,0.8235759345349137
21,3.4757085642272796,0.0,0.3405784372615569,0,0,0.9820180550684648,3.2889063565221046,-0.18680220770517497,0.36764589659574787,0,0,0.9809967225500176,3.184695940313434,-0.29101262391384575,0.36764589659574787,0,0,0.9293496132073896,2.7534831176903705,-0.7222254465369091,0.3355424083026159,39040.691139554176,45,0.7940591297330416,2.9170265210671644,-0.5586820431601152,0.32494373581500113,3935.597556559943,30,0.8209997812839452
22,3.1474674144544084,0.0,0.30641907159792675,0,0,0.9801427650329355,3.0020985569432543,-0.14536885751115403,0.30781940491927773,0,0,0.9791800119621611,2.9082912073347837,-0.23917620711962462,0.30781940491927773,0,0,0.9097397753296089,2.261735628923269,-0.8857317855311395,0.2824157822714106,14326.454150812377,54,0.8200343181859279,2.647585001785003,-0.49988241266940525,0.2749005491017413,5565.358466766254,30,0.8113584639743449
23,1.6851136135264264,0.0,0.28037465536320916,0,0,0.9629105126809777,1.9436251497550736,0.2585115362286472,0.2841522452959569,0,0,0.9678435937053624,1.8775912121471028,0.19247759862067637,0.2814610360615504,0,0,0.906795458154693,1.88547341973939,0.20035980621296368,0.25938151206053445,14452.331577926638,50,0.8046894037589594,1.8089024335054953,0.12378881997906888,0.2560436003766254,1555.7042574524544,20,0.8622584769924403
24,3.4672698806107043,0.0,0.33699056144800726,0,0,0.9819742903921308,3.440138464916641,-0.02713141569406341,0.3719694253289073,0,0,0.9818321266317068,3.227635638698145,-0.23963424191255944,0.3719694253289073,0,0,0.9302895291828067,2.6685439818579977,-0.7987258987527066,0.3467210842198008,29379.697380075257,41,0.7886934544441484,2.9473085699703367,-0.5199613106403675,0.3719694253289073,5705.300899327486,30,0.8302678836592158
25,5.4980144052743665,0.0,0.3023745613373461,0,0,0.9886322596863256,5.4500329227491076,-0.04798148252525891,0.3155266787617513,0,0,0.9885311430018549,5.120501641349588,-0.37751276392477884,0.3122514403039461,0,0,0.9499560750199347,4.033194542489504,-1.4648198627848625,0.29361039852878246,63365.14152949116,44,0.8026371664735007,4.475790241879693,-1.0222241633946734,0.28394797195072186,18730.305281228608,40,0.7799970951769777
26,5.071672107095425,0.0,0.3120114380489394,0,0,0.9876766481191557,4.609312714578939,-0.46235939251648617,0.2935498569234726,0,0,0.9864400083861179,4.484791492865423,-0.5868806142300027,0.28651123919341914,0,0,0.9428616731136569,2.9843995183741496,-2.0872725887212757,0.21264644339511743,53363.61271976,44,0.8000059424414061,4.08293911940219,-0.9887329876932354,0.25826272174366577,5398.539127897297,30,0.877447500637306
